	ausseneinsatz	key	rfid	app_steuerung	mid_or_eich	ladeleistung_11kw	ladeleistung_22kw	umts	lan	wlan	foerderung	dcfs_integrateded	cable_length_no_cable	cable_length_4m	cable_length_6m	cable_length_7m_plus
abl-emh1-11-kw	1	True	False	False	0	True	False	False	False	False	True	True	0	0	1	0
abl-emh1-basic-11-kw	1	True	False	False	0	True	False	False	False	False	True	True	0	0	1	0
abl-wallbox-ehm3-twin-3w2214	1	False	True	False	0	True	True	False	False	False	True	True	1	1	0	0
abl-wallbox-emh1-22-kw	1	True	False	False	0	False	True	False	False	False	True	True	0	0	1	0
abl-wallbox-emh1-basic-22-kw	1	True	False	False	0	False	True	False	False	False	True	True	0	0	1	0
evbox-elvi-sim-mid-11-kw	1	False	True	True	1	True	False	True	False	True	True	True	0	0	1	0
evbox-elvi-sim-mid-22-kw	1	False	True	True	1	False	True	True	False	True	True	True	0	0	1	0
evbox-elvi-wlan-11kw	1	False	True	True	0	True	False	False	False	True	True	True	0	0	1	0
evbox-elvi-wlan-mid-11-kw	1	False	True	True	0	True	False	False	False	True	True	True	0	0	1	0
go-e-charger-gemini-11-kw	1	False	True	False	0	True	False	False	False	True	False	True	1	0	0	0
go-e-charger-gemini-flex-11-kw	1	False	True	True	0	True	False	False	False	True	False	True	1	0	0	0
go-e-charger-gemini-flex-22-kw	1	False	True	False	0	False	True	False	False	True	False	True	1	0	0	0
go-echarger-homefix-11-kw	1	False	True	True	0	True	False	False	False	True	True	True	1	0	0	0
go-echarger-home-plus-11-kw	1	False	True	False	0	True	False	False	False	True	False	True	1	0	0	0
go-echarger-home-plus-22-kw	1	False	True	False	0	False	True	False	False	True	False	True	1	0	0	0
heidelberg-energy-control-11-kw	1	False	False	False	0	True	False	False	False	False	True	True	0	0	0	0
heidelberg-energy-control-11-kw-75-M	1	False	False	False	0	True	False	False	False	False	True	True	0	0	0	1
heidelberg-home-eco-11-kw	1	False	False	False	0	True	False	False	False	False	False	True	0	0	0	0
heidelberg-home-eco-11-kw-75-m	1	False	False	False	0	True	False	False	False	False	False	True	0	0	0	1
webasto-next-wallbox-11-kw-45-m	1	False	True	True	0	True	False	False	True	True	True	True	0	0	0	0
webasto-next-wallbox-11-kw-7-m	1	False	False	True	0	True	False	False	True	True	True	True	0	0	0	1
webasto-pure-ii-wallbox-11-kw	1	True	False	False	0	True	False	False	False	False	False	True	0	0	0	0
webasto-pure-ii-wallbox-11-kw-7-m	1	True	False	False	0	True	False	False	False	False	False	True	0	0	0	1
